DAILY_AQI_VALUE_2019,DAILY_AQI_VALUE_2020,Date
36.91489362,22.86046512,1-Mar
36.87096774,43,2-Mar
33.4516129,39.53846154,3-Mar
25.01960784,20.4893617,4-Mar
33.7,20.16666667,5-Mar
29.38709677,23.34615385,6-Mar
35.33333333,14.79545455,7-Mar
42.76666667,22.07142857,8-Mar
51.86666667,39.88888889,9-Mar
28.49019608,31.43243243,10-Mar
30.03333333,20.08,11-Mar
26.23333333,29.51851852,12-Mar
37.13043478,16.32352941,13-Mar
33.33333333,17.07407407,14-Mar
35.76666667,16,15-Mar
10.70833333,16.33333333,16-Mar
12.37931034,23.03703704,17-Mar
20.44827586,23.66666667,18-Mar
30.42553191,18.85714286,19-Mar
35.12903226,25.85185185,20-Mar
24,16.44444444,21-Mar
15.8,20.8,22-Mar
16.06451613,11.875,23-Mar
20.51612903,15.07407407,24-Mar
23.08510638,19.44117647,25-Mar
14.70967742,24.85185185,26-Mar
19.66666667,22.37037037,27-Mar
24.84313725,17.61111111,28-Mar
34.33333333,8.444444444,29-Mar
38.38709677,13.85185185,30-Mar
29.10638298,9.647058824,31-Mar
15.06666667,15.26923077,1-Apr
18.56666667,11.03703704,2-Apr
24.74509804,9.527777778,3-Apr
17.74193548,14.03703704,4-Apr
20.16666667,30.11111111,5-Apr
31.02173913,14.63636364,6-Apr
34.16129032,17.69230769,7-Apr
30.32258065,27.25925926,8-Apr
24.13461538,15.02777778,9-Apr
11.06666667,10.5,10-Apr
15.51724138,17,11-Apr
25,28.67647059,12-Apr
27.89655172,16.14814815,13-Apr
15.64285714,13.40740741,14-Apr
10.48979592,18.11111111,15-Apr
11.65517241,16.96153846,16-Apr
12.12903226,21.11538462,17-Apr
28.29787234,20.9375,18-Apr
32.70967742,28.19230769,19-Apr
18.76666667,14.42307692,20-Apr
21.84313725,15.90909091,21-Apr
21.5,14.76,22-Apr
21.96551724,22.42307692,23-Apr
13.2,20.11764706,24-Apr
16.27586207,24.11111111,25-Apr
14.5,13.33333333,26-Apr
11.27659574,9.764705882,27-Apr
17.33333333,17.34615385,28-Apr
14.55555556,21.77777778,29-Apr
23.17391304,15.41176471,30-Apr
17.46428571,9.384615385,1-May
29.89655172,15.38461538,2-May
25.1372549,26.47058824,3-May
24.03225806,11.88461538,4-May
10.06451613,9.333333333,5-May
18.60869565,13.625,6-May
19.33333333,12.92,7-May
14.51724138,8.769230769,8-May
18.80392157,5.5,9-May
20.58064516,13.96153846,10-May
11.32258065,13.73076923,11-May
7.043478261,11.93548387,12-May
6.766666667,16.5,13-May
8.290322581,21.57692308,14-May
17.38461538,32.5,15-May
24.32258065,13.83333333,16-May
40.64516129,12.8,17-May
18.34042553,14.6875,18-May
34.93333333,14.80769231,19-May
28.5862069,11,20-May
8.7,18.68421053,21-May
13.63333333,22.88461538,22-May
21.96774194,15.65384615,23-May
16.60416667,23.2972973,24-May
13.80645161,23.59259259,25-May
23.74193548,25.91666667,26-May
19.98039216,18.74285714,27-May
24.48387097,10.58333333,28-May
13.73333333,14.17391304,29-May
24.72340426,12.75757576,30-May
31.56666667,3.476190476,31-May
42.67741935,8.052631579,1-Jun
38.64,21.42857143,2-Jun
10.79310345,34.24,3-Jun
12.4137931,32.30434783,4-Jun
47.74468085,32.16216216,5-Jun
25.31034483,20.125,6-Jun
29.7,7.318181818,7-Jun
24.78431373,15.73684211,8-Jun
15,27.68181818,9-Jun
12.23333333,36.52,10-Jun
10.04347826,25.19444444,11-Jun
13.26666667,10.95833333,12-Jun
6.964285714,5.125,13-Jun
13.45098039,11.73684211,14-Jun
20.41935484,14.61538462,15-Jun
30.83333333,15.07692308,16-Jun
25.73913043,19.78378378,17-Jun
25.76666667,14.66666667,18-Jun
15.10344828,15.04166667,19-Jun
20.55769231,29.35,20-Jun
12.03333333,23.08333333,21-Jun
9.967741935,22.92,22-Jun
16.65957447,32.48717949,23-Jun
31.70967742,19.90909091,24-Jun
32.03448276,20.2,25-Jun
29.43137255,25.34146341,26-Jun
25.92857143,36.2,27-Jun
31,30.72,28-Jun
40.97916667,24.5,29-Jun
14.4516129,13.125,30-Jun
12.83333333,17.125,1-Jul
33.8627451,33.38461538,2-Jul
48.38709677,43,3-Jul
61.76666667,56.88,4-Jul
42.5106383,57.71052632,5-Jul
31,35.56,6-Jul
28.16129032,26.84,7-Jul
26.64583333,33.125,8-Jul
32.5,29.44,9-Jul
49.41935484,16.31578947,10-Jul
34.25,19.94444444,11-Jul
19.24137931,15.08333333,12-Jul
29.3,14.66666667,13-Jul
27.25490196,15.61538462,14-Jul
16.17857143,15.68,15-Jul
36.3,14.60869565,16-Jul
37.56818182,24.86842105,17-Jul
17.37037037,30.5,18-Jul
37.96551724,40.03846154,19-Jul
41.06122449,28.70731707,20-Jul
33.63333333,18.76,21-Jul
17,30.96,22-Jul
13.6744186,24.80555556,23-Jul
20.03333333,20.33333333,24-Jul
29.27586207,26.80769231,25-Jul
41.29166667,30.34146341,26-Jul
39.73333333,38.46153846,27-Jul
46.1,27.48,28-Jul
51.60465116,27.23076923,29-Jul
51.17857143,29.96153846,30-Jul
32.71428571,22.07692308,31-Jul
